Country,Year,Population
Sri Lanka,1980,14943645.0
Sri Lanka,1981,15198918.0
Sri Lanka,1982,15438753.0
Sri Lanka,1983,15658442.0
Sri Lanka,1984,15872577.0
Sri Lanka,1985,16092338.0
Sri Lanka,1986,16317995.0
Sri Lanka,1987,16547139.0
Sri Lanka,1988,16773736.0
Sri Lanka,1989,16990575.0
Sri Lanka,1990,17204094.0
Sri Lanka,1991,17416596.0
Sri Lanka,1992,17624457.0
Sri Lanka,1993,17825611.0
Sri Lanka,1994,18011744.0
Sri Lanka,1995,18177572.0
Sri Lanka,1996,18322506.0
Sri Lanka,1997,18449123.0
Sri Lanka,1998,18560798.0
Sri Lanka,1999,18670411.0
Sri Lanka,2000,18776371.0
Sri Lanka,2001,18920275.0
Sri Lanka,2002,19110707.0
Sri Lanka,2003,19303180.0
Sri Lanka,2004,19490431.0
Sri Lanka,2005,19673866.0
Sri Lanka,2006,19870706.0
Sri Lanka,2007,20078655.0
Sri Lanka,2008,20285643.0
Sri Lanka,2009,20482477.0
Sri Lanka,2010,20668557.0
Sri Lanka,2011,20859743.0
Sri Lanka,2012,21017147.0
Sri Lanka,2013,21131756.0
Sri Lanka,2014,21239457.0
Sri Lanka,2015,21336697.0
Sri Lanka,2016,21425494.0
Sri Lanka,2017,21506813.0
Sri Lanka,2018,21670000.0
Sri Lanka,2019,21803000.0
Sri Lanka,2020,21919000.0
Sri Lanka,2021,22156000.0
Sri Lanka,2022,22181000.0
Greece,1980,9642505.0
Greece,1981,9729350.0
Greece,1982,9789513.0
Greece,1983,9846627.0
Greece,1984,9895801.0
Greece,1985,9934300.0
Greece,1986,9967213.0
Greece,1987,10000595.0
Greece,1988,10036983.0
Greece,1989,10089498.0
Greece,1990,10196792.0
Greece,1991,10319927.0
Greece,1992,10399061.0
Greece,1993,10460415.0
Greece,1994,10512922.0
Greece,1995,10562153.0
Greece,1996,10608800.0
Greece,1997,10661259.0
Greece,1998,10720509.0
Greece,1999,10761698.0
Greece,2000,10805808.0
Greece,2001,10862132.0
Greece,2002,10902022.0
Greece,2003,10928070.0
Greece,2004,10955141.0
Greece,2005,10987314.0
Greece,2006,11020362.0
Greece,2007,11048473.0
Greece,2008,11077841.0
Greece,2009,11107017.0
Greece,2010,11121341.0
Greece,2011,11104899.0
Greece,2012,11045011.0
Greece,2013,10965211.0
Greece,2014,10892413.0
Greece,2015,10820883.0
Greece,2016,10775971.0
Greece,2017,10754679.0
Greece,2018,10732882.0
Greece,2019,10721582.0
Greece,2020,10698599.0
Greece,2021,10641221.0
Greece,2022,10566531.0
Brazil,1980,122288383.0
Brazil,1981,125168060.0
Brazil,1982,128065095.0
Brazil,1983,130977370.0
Brazil,1984,133888775.0
Brazil,1985,136783180.0
Brazil,1986,139643355.0
Brazil,1987,142466264.0
Brazil,1988,145253973.0
Brazil,1989,148003411.0
Brazil,1990,150706446.0
Brazil,1991,153336445.0
Brazil,1992,155900790.0
Brazil,1993,158440875.0
Brazil,1994,160980472.0
Brazil,1995,163515328.0
Brazil,1996,166037122.0
Brazil,1997,168546707.0
Brazil,1998,171039804.0
Brazil,1999,173486281.0
Brazil,2000,175873720.0
Brazil,2001,178211881.0
Brazil,2002,180476685.0
Brazil,2003,182629278.0
Brazil,2004,184722043.0
Brazil,2005,186797334.0
Brazil,2006,188820682.0
Brazil,2007,190779453.0
Brazil,2008,192672317.0
Brazil,2009,194517549.0
Brazil,2010,196353492.0
Brazil,2011,198185302.0
Brazil,2012,199977707.0
Brazil,2013,201721767.0
Brazil,2014,203459650.0
Brazil,2015,205188205.0
Brazil,2016,206859578.0
Brazil,2017,208504960.0
Brazil,2018,210166592.0
Brazil,2019,211782878.0
Brazil,2020,213196304.0
Brazil,2021,214326223.0
Brazil,2022,215313498.0
Kuwait,1980,1493870.0
Kuwait,1981,1573026.0
Kuwait,1982,1652921.0
Kuwait,1983,1736028.0
Kuwait,1984,1813986.0
Kuwait,1985,1888975.0
Kuwait,1986,1968093.0
Kuwait,1987,2048477.0
Kuwait,1988,2129153.0
Kuwait,1989,2210013.0
Kuwait,1990,1674938.0
Kuwait,1991,1339500.0
Kuwait,1992,1620633.0
Kuwait,1993,1653645.0
Kuwait,1994,1641106.0
Kuwait,1995,1655222.0
Kuwait,1996,1703318.0
Kuwait,1997,1761468.0
Kuwait,1998,1819544.0
Kuwait,1999,1877427.0
Kuwait,2000,1934901.0
Kuwait,2001,1991674.0
Kuwait,2002,2047364.0
Kuwait,2003,2101506.0
Kuwait,2004,2153481.0
Kuwait,2005,2235403.0
Kuwait,2006,2363409.0
Kuwait,2007,2506769.0
Kuwait,2008,2650930.0
Kuwait,2009,2795550.0
Kuwait,2010,2943356.0
Kuwait,2011,3143825.0
Kuwait,2012,3394663.0
Kuwait,2013,3646518.0
Kuwait,2014,3761584.0
Kuwait,2015,3908743.0
Kuwait,2016,4048085.0
Kuwait,2017,4124904.0
Kuwait,2018,4317185.0
Kuwait,2019,4441100.0
Kuwait,2020,4360444.0
Kuwait,2021,4250114.0
Kuwait,2022,4268873.0
Spain,1980,37491165.0
Spain,1981,37758631.0
Spain,1982,37986012.0
Spain,1983,38171525.0
Spain,1984,38330364.0
Spain,1985,38469512.0
Spain,1986,38584624.0
Spain,1987,38684815.0
Spain,1988,38766939.0
Spain,1989,38827764.0
Spain,1990,38867322.0
Spain,1991,38966376.0
Spain,1992,39157685.0
Spain,1993,39361262.0
Spain,1994,39549108.0
Spain,1995,39724050.0
Spain,1996,39889852.0
Spain,1997,40057389.0
Spain,1998,40223509.0
Spain,1999,40386875.0
Spain,2000,40567864.0
Spain,2001,40850412.0
Spain,2002,41431558.0
Spain,2003,42187645.0
Spain,2004,42921895.0
Spain,2005,43653155.0
Spain,2006,44397319.0
Spain,2007,45226803.0
Spain,2008,45954106.0
Spain,2009,46362946.0
Spain,2010,46576897.0
Spain,2011,46742697.0
Spain,2012,46773055.0
Spain,2013,46620045.0
Spain,2014,46480882.0
Spain,2015,46444832.0
Spain,2016,46484062.0
Spain,2017,46593236.0
Spain,2018,46797754.0
Spain,2019,47134837.0
Spain,2020,47365655.0
Spain,2021,47415750.0
Spain,2022,47615034.0
Gabon,1980,749078.0
Gabon,1981,768904.0
Gabon,1982,789585.0
Gabon,1983,811098.0
Gabon,1984,833417.0
Gabon,1985,856482.0
Gabon,1986,880340.0
Gabon,1987,905016.0
Gabon,1988,930464.0
Gabon,1989,956509.0
Gabon,1990,983028.0
Gabon,1991,1009995.0
Gabon,1992,1037446.0
Gabon,1993,1065390.0
Gabon,1994,1093611.0
Gabon,1995,1121964.0
Gabon,1996,1150601.0
Gabon,1997,1179806.0
Gabon,1998,1209832.0
Gabon,1999,1240764.0
Gabon,2000,1272935.0
Gabon,2001,1306590.0
Gabon,2002,1341696.0
Gabon,2003,1378398.0
Gabon,2004,1417110.0
Gabon,2005,1458353.0
Gabon,2006,1502534.0
Gabon,2007,1549774.0
Gabon,2008,1599978.0
Gabon,2009,1653542.0
Gabon,2010,1711105.0
Gabon,2011,1772500.0
Gabon,2012,1836705.0
Gabon,2013,1902226.0
Gabon,2014,1966855.0
Gabon,2015,2028517.0
Gabon,2016,2086206.0
Gabon,2017,2140215.0
Gabon,2018,2192012.0
Gabon,2019,2242785.0
Gabon,2020,2292573.0
Gabon,2021,2341179.0
Gabon,2022,2388992.0
Canada,1980,24515667.0
Canada,1981,24819915.0
Canada,1982,25116942.0
Canada,1983,25366451.0
Canada,1984,25607053.0
Canada,1985,25842116.0
Canada,1986,26100278.0
Canada,1987,26446601.0
Canada,1988,26791747.0
Canada,1989,27276781.0
Canada,1990,27691138.0
Canada,1991,28037420.0
Canada,1992,28371264.0
Canada,1993,28684764.0
Canada,1994,29000663.0
Canada,1995,29302311.0
Canada,1996,29610218.0
Canada,1997,29905948.0
Canada,1998,30155173.0
Canada,1999,30401286.0
Canada,2000,30685730.0
Canada,2001,31020902.0
Canada,2002,31360079.0
Canada,2003,31644028.0
Canada,2004,31940655.0
Canada,2005,32243753.0
Canada,2006,32571174.0
Canada,2007,32889025.0
Canada,2008,33247118.0
Canada,2009,33628895.0
Canada,2010,34004889.0
Canada,2011,34339328.0
Canada,2012,34714222.0
Canada,2013,35082954.0
Canada,2014,35437435.0
Canada,2015,35702908.0
Canada,2016,36109487.0
Canada,2017,36545236.0
Canada,2018,37065084.0
Canada,2019,37601230.0
Canada,2020,38007166.0
Canada,2021,38226498.0
Canada,2022,38929902.0
Iceland,1980,228138.0
Iceland,1981,230755.0
Iceland,1982,233860.0
Iceland,1983,236977.0
Iceland,1984,239511.0
Iceland,1985,241405.0
Iceland,1986,243180.0
Iceland,1987,245859.0
Iceland,1988,249740.0
Iceland,1989,252852.0
Iceland,1990,254826.0
Iceland,1991,257797.0
Iceland,1992,261057.0
Iceland,1993,263725.0
Iceland,1994,266021.0
Iceland,1995,267468.0
Iceland,1996,268916.0
Iceland,1997,271128.0
Iceland,1998,274047.0
Iceland,1999,277381.0
Iceland,2000,281205.0
Iceland,2001,284968.0
Iceland,2002,287523.0
Iceland,2003,289521.0
Iceland,2004,292074.0
Iceland,2005,296734.0
Iceland,2006,303782.0
Iceland,2007,311566.0
Iceland,2008,317414.0
Iceland,2009,318499.0
Iceland,2010,318041.0
Iceland,2011,319014.0
Iceland,2012,320716.0
Iceland,2013,323764.0
Iceland,2014,327386.0
Iceland,2015,330815.0
Iceland,2016,335439.0
Iceland,2017,343400.0
Iceland,2018,352721.0
Iceland,2019,360563.0
Iceland,2020,366463.0
Iceland,2021,372520.0
Iceland,2022,381900.0
Hungary,1980,10711122.0
Hungary,1981,10711848.0
Hungary,1982,10705535.0
Hungary,1983,10689463.0
Hungary,1984,10668095.0
Hungary,1985,10648713.0
Hungary,1986,10630564.0
Hungary,1987,10612741.0
Hungary,1988,10596487.0
Hungary,1989,10481719.0
Hungary,1990,10373988.0
Hungary,1991,10373400.0
Hungary,1992,10369341.0
Hungary,1993,10357523.0
Hungary,1994,10343355.0
Hungary,1995,10328965.0
Hungary,1996,10311238.0
Hungary,1997,10290486.0
Hungary,1998,10266570.0
Hungary,1999,10237530.0
Hungary,2000,10210971.0
Hungary,2001,10187576.0
Hungary,2002,10158608.0
Hungary,2003,10129552.0
Hungary,2004,10107146.0
Hungary,2005,10087065.0
Hungary,2006,10071370.0
Hungary,2007,10055780.0
Hungary,2008,10038188.0
Hungary,2009,10022650.0
Hungary,2010,10000023.0
Hungary,2011,9971727.0
Hungary,2012,9920362.0
Hungary,2013,9893082.0
Hungary,2014,9866468.0
Hungary,2015,9843028.0
Hungary,2016,9814023.0
Hungary,2017,9787966.0
Hungary,2018,9775564.0
Hungary,2019,9771141.0
Hungary,2020,9750149.0
Hungary,2021,9709891.0
Hungary,2022,9683505.0
Peru,1980,17492406.0
Peru,1981,17932344.0
Peru,1982,18374372.0
Peru,1983,18826906.0
Peru,1984,19285646.0
Peru,1985,19746610.0
Peru,1986,20208437.0
Peru,1987,20671360.0
Peru,1988,21143799.0
Peru,1989,21624311.0
Peru,1990,22109099.0
Peru,1991,22583006.0
Peru,1992,23047248.0
Peru,1993,23513882.0
Peru,1994,23983258.0
Peru,1995,24449055.0
Peru,1996,24907304.0
Peru,1997,25365386.0
Peru,1998,25818226.0
Peru,1999,26252239.0
Peru,2000,26654439.0
Peru,2001,27014909.0
Peru,2002,27334503.0
Peru,2003,27623341.0
Peru,2004,27893911.0
Peru,2005,28147267.0
Peru,2006,28381078.0
Peru,2007,28600387.0
Peru,2008,28806185.0
Peru,2009,29009326.0
Peru,2010,29229572.0
Peru,2011,29477721.0
Peru,2012,29749589.0
Peru,2013,30038809.0
Peru,2014,30353951.0
Peru,2015,30711863.0
Peru,2016,31132779.0
Peru,2017,31605486.0
Peru,2018,32203944.0
Peru,2019,32824861.0
Peru,2020,33304756.0
Peru,2021,33715471.0
Peru,2022,34049588.0
Norway,1980,4085620.0
Norway,1981,4099702.0
Norway,1982,4114787.0
Norway,1983,4128432.0
Norway,1984,4140099.0
Norway,1985,4152516.0
Norway,1986,4167354.0
Norway,1987,4186905.0
Norway,1988,4209488.0
Norway,1989,4226901.0
Norway,1990,4241473.0
Norway,1991,4261732.0
Norway,1992,4286401.0
Norway,1993,4311991.0
Norway,1994,4336613.0
Norway,1995,4359184.0
Norway,1996,4381336.0
Norway,1997,4405157.0
Norway,1998,4431464.0
Norway,1999,4461913.0
Norway,2000,4490967.0
Norway,2001,4513751.0
Norway,2002,4538159.0
Norway,2003,4564855.0
Norway,2004,4591910.0
Norway,2005,4623291.0
Norway,2006,4660677.0
Norway,2007,4709153.0
Norway,2008,4768212.0
Norway,2009,4828726.0
Norway,2010,4889252.0
Norway,2011,4953088.0
Norway,2012,5018573.0
Norway,2013,5079623.0
Norway,2014,5137232.0
Norway,2015,5188607.0
Norway,2016,5234519.0
Norway,2017,5276968.0
Norway,2018,5311916.0
Norway,2019,5347896.0
Norway,2020,5379475.0
Norway,2021,5408320.0
Norway,2022,5457127.0
China,1980,981235000.0
China,1981,993885000.0
China,1982,1008630000.0
China,1983,1023310000.0
China,1984,1036825000.0
China,1985,1051040000.0
China,1986,1066790000.0
China,1987,1084035000.0
China,1988,1101630000.0
China,1989,1118650000.0
China,1990,1135185000.0
China,1991,1150780000.0
China,1992,1164970000.0
China,1993,1178440000.0
China,1994,1191835000.0
China,1995,1204855000.0
China,1996,1217550000.0
China,1997,1230075000.0
China,1998,1241935000.0
China,1999,1252735000.0
China,2000,1262645000.0
China,2001,1271850000.0
China,2002,1280400000.0
China,2003,1288400000.0
China,2004,1296075000.0
China,2005,1303720000.0
China,2006,1311020000.0
China,2007,1317885000.0
China,2008,1324655000.0
China,2009,1331260000.0
China,2010,1337705000.0
China,2011,1345035000.0
China,2012,1354190000.0
China,2013,1363240000.0
China,2014,1371860000.0
China,2015,1379860000.0
China,2016,1387790000.0
China,2017,1396215000.0
China,2018,1402760000.0
China,2019,1407745000.0
China,2020,1411100000.0
China,2021,1412360000.0
China,2022,1412175000.0
Colombia,1980,26176195.0
Colombia,1981,26785982.0
Colombia,1982,27405194.0
Colombia,1983,28042329.0
Colombia,1984,28689032.0
Colombia,1985,29326260.0
Colombia,1986,29960101.0
Colombia,1987,30603048.0
Colombia,1988,31256727.0
Colombia,1989,31923117.0
Colombia,1990,32601393.0
Colombia,1991,33272628.0
Colombia,1992,33939039.0
Colombia,1993,34614735.0
Colombia,1994,35295461.0
Colombia,1995,35970101.0
Colombia,1996,36632573.0
Colombia,1997,37291946.0
Colombia,1998,37944414.0
Colombia,1999,38585033.0
Colombia,2000,39215135.0
Colombia,2001,39837875.0
Colombia,2002,40454050.0
Colombia,2003,41057687.0
Colombia,2004,41648268.0
Colombia,2005,42220940.0
Colombia,2006,42772910.0
Colombia,2007,43306582.0
Colombia,2008,43815313.0
Colombia,2009,44313917.0
Colombia,2010,44816108.0
Colombia,2011,45308899.0
Colombia,2012,45782417.0
Colombia,2013,46237930.0
Colombia,2014,46677947.0
Colombia,2015,47119728.0
Colombia,2016,47625955.0
Colombia,2017,48351671.0
Colombia,2018,49276961.0
Colombia,2019,50187406.0
Colombia,2020,50930662.0
Colombia,2021,51516562.0
Colombia,2022,51874024.0
Romania,1980,22207282.0
Romania,1981,22353070.0
Romania,1982,22475741.0
Romania,1983,22560478.0
Romania,1984,22640547.0
Romania,1985,22732999.0
Romania,1986,22836841.0
Romania,1987,22949430.0
Romania,1988,23057662.0
Romania,1989,23161458.0
Romania,1990,23201835.0
Romania,1991,23001155.0
Romania,1992,22794284.0
Romania,1993,22763280.0
Romania,1994,22730211.0
Romania,1995,22684270.0
Romania,1996,22619004.0
Romania,1997,22553978.0
Romania,1998,22507344.0
Romania,1999,22472040.0
Romania,2000,22442971.0
Romania,2001,22131970.0
Romania,2002,21730496.0
Romania,2003,21574326.0
Romania,2004,21451748.0
Romania,2005,21319685.0
Romania,2006,21193760.0
Romania,2007,20882982.0
Romania,2008,20537875.0
Romania,2009,20367487.0
Romania,2010,20246871.0
Romania,2011,20147528.0
Romania,2012,20058035.0
Romania,2013,19983693.0
Romania,2014,19908979.0
Romania,2015,19815616.0
Romania,2016,19702267.0
Romania,2017,19588715.0
Romania,2018,19473970.0
Romania,2019,19371648.0
Romania,2020,19265250.0
Romania,2021,19119880.0
Romania,2022,18956666.0
Algeria,1980,18739378.0
Algeria,1981,19351357.0
Algeria,1982,20000096.0
Algeria,1983,20682111.0
Algeria,1984,21393530.0
Algeria,1985,22132905.0
Algeria,1986,22882553.0
Algeria,1987,23586101.0
Algeria,1988,24243018.0
Algeria,1989,24889507.0
Algeria,1990,25518074.0
Algeria,1991,26133905.0
Algeria,1992,26748303.0
Algeria,1993,27354327.0
Algeria,1994,27937006.0
Algeria,1995,28478022.0
Algeria,1996,28984634.0
Algeria,1997,29476031.0
Algeria,1998,29924668.0
Algeria,1999,30346083.0
Algeria,2000,30774621.0
Algeria,2001,31200985.0
Algeria,2002,31624696.0
Algeria,2003,32055883.0
Algeria,2004,32510186.0
Algeria,2005,32956690.0
Algeria,2006,33435080.0
Algeria,2007,33983827.0
Algeria,2008,34569592.0
Algeria,2009,35196037.0
Algeria,2010,35856344.0
Algeria,2011,36543541.0
Algeria,2012,37260563.0
Algeria,2013,38000626.0
Algeria,2014,38760168.0
Algeria,2015,39543154.0
Algeria,2016,40339329.0
Algeria,2017,41136546.0
Algeria,2018,41927007.0
Algeria,2019,42705368.0
Algeria,2020,43451666.0
Algeria,2021,44177969.0
Algeria,2022,44903225.0
Bulgaria,1980,8861535.0
Bulgaria,1981,8891117.0
Bulgaria,1982,8917457.0
Bulgaria,1983,8939738.0
Bulgaria,1984,8960679.0
Bulgaria,1985,8960547.0
Bulgaria,1986,8958171.0
Bulgaria,1987,8971359.0
Bulgaria,1988,8981446.0
Bulgaria,1989,8876972.0
Bulgaria,1990,8718289.0
Bulgaria,1991,8632367.0
Bulgaria,1992,8540164.0
Bulgaria,1993,8472313.0
Bulgaria,1994,8443591.0
Bulgaria,1995,8406067.0
Bulgaria,1996,8362826.0
Bulgaria,1997,8312068.0
Bulgaria,1998,8256786.0
Bulgaria,1999,8210624.0
Bulgaria,2000,8170172.0
Bulgaria,2001,8009142.0
Bulgaria,2002,7837161.0
Bulgaria,2003,7775327.0
Bulgaria,2004,7716860.0
Bulgaria,2005,7658972.0
Bulgaria,2006,7601022.0
Bulgaria,2007,7545338.0
Bulgaria,2008,7492561.0
Bulgaria,2009,7444443.0
Bulgaria,2010,7395599.0
Bulgaria,2011,7348328.0
Bulgaria,2012,7305888.0
Bulgaria,2013,7265115.0
Bulgaria,2014,7223938.0
Bulgaria,2015,7177991.0
Bulgaria,2016,7127822.0
Bulgaria,2017,7075947.0
Bulgaria,2018,7025037.0
Bulgaria,2019,6975761.0
Bulgaria,2020,6934015.0
Bulgaria,2021,6877743.0
Bulgaria,2022,6465097.0
Mexico,1980,67705186.0
Mexico,1981,69233769.0
Mexico,1982,70656783.0
Mexico,1983,72080310.0
Mexico,1984,73489654.0
Mexico,1985,74872006.0
Mexico,1986,76224365.0
Mexico,1987,77553504.0
Mexico,1988,78892015.0
Mexico,1989,80233749.0
Mexico,1990,81720428.0
Mexico,1991,83351595.0
Mexico,1992,84993164.0
Mexico,1993,86648447.0
Mexico,1994,88314424.0
Mexico,1995,89969572.0
Mexico,1996,91586555.0
Mexico,1997,93183094.0
Mexico,1998,94767284.0
Mexico,1999,96334810.0
Mexico,2000,97873442.0
Mexico,2001,99394288.0
Mexico,2002,100917081.0
Mexico,2003,102429341.0
Mexico,2004,103945813.0
Mexico,2005,105442402.0
Mexico,2006,106886790.0
Mexico,2007,108302973.0
Mexico,2008,109684489.0
Mexico,2009,111049428.0
Mexico,2010,112532401.0
Mexico,2011,114150481.0
Mexico,2012,115755909.0
Mexico,2013,117290686.0
Mexico,2014,118755887.0
Mexico,2015,120149897.0
Mexico,2016,121519221.0
Mexico,2017,122839258.0
Mexico,2018,124013861.0
Mexico,2019,125085311.0
Mexico,2020,125998302.0
Mexico,2021,126705138.0
Mexico,2022,127504125.0
Singapore,1980,2413945.0
Singapore,1981,2532835.0
Singapore,1982,2646466.0
Singapore,1983,2681061.0
Singapore,1984,2732221.0
Singapore,1985,2735957.0
Singapore,1986,2733373.0
Singapore,1987,2774789.0
Singapore,1988,2846108.0
Singapore,1989,2930901.0
Singapore,1990,3047132.0
Singapore,1991,3135083.0
Singapore,1992,3230698.0
Singapore,1993,3313471.0
Singapore,1994,3419048.0
Singapore,1995,3524506.0
Singapore,1996,3670704.0
Singapore,1997,3796038.0
Singapore,1998,3927213.0
Singapore,1999,3958723.0
Singapore,2000,4027887.0
Singapore,2001,4138012.0
Singapore,2002,4175950.0
Singapore,2003,4114826.0
Singapore,2004,4166664.0
Singapore,2005,4265762.0
Singapore,2006,4401365.0
Singapore,2007,4588599.0
Singapore,2008,4839396.0
Singapore,2009,4987573.0
Singapore,2010,5076732.0
Singapore,2011,5183688.0
Singapore,2012,5312437.0
Singapore,2013,5399162.0
Singapore,2014,5469724.0
Singapore,2015,5535002.0
Singapore,2016,5607283.0
Singapore,2017,5612253.0
Singapore,2018,5638676.0
Singapore,2019,5703569.0
Singapore,2020,5685807.0
Singapore,2021,5453566.0
Singapore,2022,5637022.0
Myanmar,1980,33465781.0
Myanmar,1981,34110098.0
Myanmar,1982,34742586.0
Myanmar,1983,35424262.0
Myanmar,1984,36159838.0
Myanmar,1985,36881020.0
Myanmar,1986,37572340.0
Myanmar,1987,38233171.0
Myanmar,1988,38868270.0
Myanmar,1989,39489419.0
Myanmar,1990,40099553.0
Myanmar,1991,40680533.0
Myanmar,1992,41237813.0
Myanmar,1993,41788302.0
Myanmar,1994,42337109.0
Myanmar,1995,42880186.0
Myanmar,1996,43423369.0
